Block_ID,X,Y,Z,Rock_Type,Ore_Grade (%),Tonnage,Ore_Value (¥/tonne),Mining_Cost (¥),Processing_Cost (¥),Waste_Flag,Profit (¥),Target
B00054,243,222,9,Magnetite,50.49,2285,307.62,69,38,0,458416.7,1
B00055,319,78,8,Magnetite,62.03,1634,315.17,63,36,0,353221.78,1
B00056,130,169,33,Waste,0.0,2537,0.0,54,23,1,-195349.0,0
B00057,484,401,76,Hematite,63.66,2695,343.76,64,27,0,681188.2,1
B00058,306,245,54,Hematite,64.65,2513,300.95,57,26,0,547708.35,1
B00059,134,270,74,Magnetite,59.0,1986,262.31,59,33,0,338235.66000000003,1
B00060,20,466,74,Waste,0.0,1439,0.0,58,28,1,-123754.0,0
B00061,328,471,93,Waste,0.0,1469,0.0,44,21,1,-95485.0,0
B00062,166,98,91,Magnetite,51.19,1599,303.05,33,38,0,371047.95,1
B00063,273,321,86,Hematite,57.49,1088,281.36,52,34,0,212551.68000000002,1
B00064,387,140,60,Magnetite,53.21,2159,317.07,60,26,0,498880.13,1
B00065,88,108,58,Magnetite,64.71,2861,328.25,35,39,0,727409.25,1
B00066,315,312,78,Hematite,62.6,2548,250.25,59,37,0,393029.0,1
B00067,13,136,10,Waste,0.0,1804,0.0,55,28,1,-149732.0,0
B00068,241,120,12,Waste,0.0,2484,0.0,61,38,1,-245916.0,0
B00069,264,98,61,Magnetite,64.02,1066,273.79,31,20,0,237494.14,1
B00070,345,65,91,Hematite,64.12,1509,290.51,65,30,0,295024.58999999997,1
B00071,52,493,70,Waste,0.0,2824,0.0,53,20,1,-206152.0,0
B00072,385,143,94,Magnetite,54.65,1860,327.07,42,36,0,463270.2,1
B00073,339,109,21,Waste,0.0,2097,0.0,42,27,1,-144693.0,0
B00074,91,483,37,Hematite,56.79,1753,300.48,33,31,0,414549.44000000006,1
B00075,366,129,13,Magnetite,53.36,2554,271.84,48,32,0,489959.3599999999,1
B00076,443,399,5,Waste,0.0,1639,0.0,61,31,1,-150788.0,0
B00077,454,327,30,Hematite,59.13,1648,269.28,63,21,0,305341.43999999994,1
B00078,427,256,50,Waste,0.0,2617,0.0,55,28,1,-217211.0,0
B00079,263,209,2,Hematite,62.74,1015,305.11,48,21,0,239651.65000000002,1
B00080,430,245,16,Magnetite,57.95,2228,336.4,58,27,0,560119.2,1
B00081,34,360,19,Magnetite,62.35,1324,265.79,63,31,0,227449.96000000002,1
B00082,205,153,6,Magnetite,51.73,2273,268.6,40,25,0,462782.80000000005,1
B00083,80,427,16,Hematite,62.78,2305,269.92,53,34,0,421630.60000000003,1
B00084,419,132,57,Magnetite,61.95,1170,263.79,63,35,0,193974.30000000002,1
B00085,49,20,89,Magnetite,61.46,1528,311.32,46,34,0,353456.95999999996,1
B00086,359,34,26,Magnetite,55.42,1111,349.23,40,33,0,306891.53,1
B00087,387,359,12,Hematite,58.92,1183,270.35,66,26,0,210988.05000000002,1
B00088,1,475,4,Hematite,55.13,2785,260.64,44,26,0,530932.3999999999,1
B00089,389,309,64,Magnetite,56.09,1087,303.48,33,23,0,269010.76,1
B00090,53,473,16,Hematite,55.46,1384,262.88,67,37,0,219889.91999999998,1
B00091,105,223,36,Hematite,53.85,2328,317.95,54,34,0,535323.6,1
B00092,259,123,15,Hematite,57.11,2209,261.54,61,24,0,389976.86000000004,1
B00093,309,239,17,Hematite,52.52,1148,290.4,49,20,0,254167.19999999998,1
B00094,476,433,91,Magnetite,54.01,2740,250.77,40,21,0,519969.80000000005,1
B00095,190,363,2,Waste,0.0,2952,0.0,33,30,1,-185976.0,0
B00096,401,299,17,Magnetite,57.06,2613,288.43,68,39,0,474076.59,1
B00097,217,340,40,Magnetite,50.35,1524,326.05,56,38,0,353644.2,1
B00098,43,3,93,Magnetite,52.9,1278,344.33,38,33,0,349315.74,1
B00099,161,122,95,Hematite,57.97,2904,250.55,44,30,0,512701.2,1
B00100,201,41,77,Magnetite,63.46,1596,277.03,48,37,0,306479.87999999995,1
B00101,445,168,16,Waste,0.0,1844,0.0,54,21,1,-138300.0,0
B00102,483,419,82,Waste,0.0,1171,0.0,58,33,1,-106561.0,0
B00103,269,279,60,Hematite,50.84,2615,250.3,52,23,0,458409.50000000006,1
B00104,350,224,46,Hematite,52.1,2665,268.49,44,35,0,504990.85000000003,1
B00105,303,388,71,Magnetite,57.17,1397,342.01,45,24,0,381394.97,1
B00106,270,184,67,Magnetite,54.09,2409,321.33,65,20,0,569318.97,1
B00107,455,322,23,Waste,0.0,1639,0.0,63,38,1,-165539.0,0
B00108,461,10,92,Hematite,60.36,1132,286.4,65,22,0,225720.8,1
B00109,214,172,46,Waste,0.0,1924,0.0,52,24,1,-146224.0,0
B00110,251,95,55,Hematite,59.45,2373,284.11,44,31,0,496218.03,1
B00111,189,277,74,Magnetite,57.67,2621,317.46,60,34,0,585688.6599999999,1
B00112,295,138,75,Magnetite,59.01,2903,252.47,59,34,0,462941.41,1
B00113,212,165,13,Hematite,53.22,2460,299.8,50,30,0,540708.0,1
B00114,207,186,70,Magnetite,60.64,2272,263.94,64,26,0,395191.68,1
B00115,236,85,66,Hematite,52.66,1595,266.08,48,35,0,292012.6,1
B00116,337,387,95,Waste,0.0,2863,0.0,32,33,1,-186095.0,0
B00117,366,230,10,Hematite,57.56,2981,321.16,56,39,0,674182.9600000001,1
B00118,52,450,1,Hematite,57.18,2669,324.16,52,28,0,651663.04,1
B00119,279,137,16,Magnetite,53.29,1870,271.71,65,24,0,341667.69999999995,1
B00120,409,484,41,Hematite,59.79,1385,286.01,46,21,0,303328.85,1
B00121,216,18,57,Hematite,55.88,1393,324.61,44,33,0,344920.73000000004,1
B00122,251,337,22,Waste,0.0,2184,0.0,44,32,1,-165984.0,0
B00123,187,155,32,Waste,0.0,1082,0.0,57,38,1,-102790.0,0
B00124,379,94,85,Hematite,62.73,1022,296.62,36,29,0,236715.64,1
B00125,492,16,44,Hematite,62.23,2977,251.99,56,25,0,509037.23000000004,1
B00126,40,279,77,Magnetite,59.59,1036,258.96,68,30,0,166754.55999999997,1
B00127,156,384,48,Magnetite,60.1,1259,269.34,55,30,0,232084.05999999997,1
B00128,14,260,19,Hematite,52.84,2831,292.74,64,38,0,539984.9400000001,1
B00129,300,159,52,Hematite,53.19,2192,329.32,59,38,0,509245.44,1
B00130,64,308,16,Waste,0.0,2288,0.0,69,33,1,-233376.0,0
B00131,344,80,7,Magnetite,56.96,2877,326.0,54,22,0,719250.0,1
B00132,326,184,6,Waste,0.0,1731,0.0,61,23,1,-145404.0,0
B00133,8,212,36,Hematite,57.48,2946,325.96,58,31,0,698084.1599999999,1
B00134,343,488,99,Hematite,62.75,1665,292.33,48,23,0,368514.44999999995,1
B00135,128,426,48,Hematite,63.46,2716,338.6,66,37,0,639889.6000000001,1
B00136,491,341,67,Magnetite,54.21,1170,259.26,55,39,0,193354.19999999998,1
B00137,135,358,29,Magnetite,56.09,2628,296.17,36,30,0,604886.76,1
B00138,471,166,51,Hematite,59.07,2760,339.09,68,35,0,651608.3999999999,1
B00139,62,417,53,Magnetite,63.41,1036,302.05,57,33,0,219683.80000000002,1
B00140,138,205,51,Waste,0.0,1246,0.0,68,33,1,-125846.0,0
B00141,498,335,84,Magnetite,59.06,1742,258.3,45,37,0,307114.60000000003,1
B00142,80,260,41,Magnetite,52.52,1412,253.7,69,25,0,225496.4,1
B00143,391,273,26,Magnetite,64.53,1388,276.66,57,34,0,257696.08000000005,1
B00144,162,387,2,Hematite,55.34,1634,270.23,54,35,0,296129.82,1
B00145,418,235,94,Magnetite,53.18,2068,342.61,42,34,0,551349.48,1
B00146,288,242,15,Magnetite,51.37,1102,265.21,59,20,0,205203.41999999998,1
B00147,378,219,76,Magnetite,52.43,2417,338.13,42,32,0,638402.21,1
B00148,260,364,70,Hematite,52.62,1361,300.56,36,25,0,326041.16,1
B00149,489,346,74,Magnetite,61.92,1146,346.23,66,34,0,282179.58,1
B00150,230,69,97,Waste,0.0,2273,0.0,67,33,1,-227300.0,0
B00151,40,394,41,Hematite,62.56,1474,294.54,30,24,0,354555.96,1
B00152,27,430,74,Magnetite,53.6,1423,334.34,62,38,0,333465.81999999995,1
B00153,134,212,95,Hematite,58.53,1531,259.33,54,39,0,254651.22999999998,1
B00154,200,336,55,Magnetite,60.25,2047,346.68,56,37,0,519282.96,1
B00155,327,286,32,Magnetite,55.43,2670,299.19,35,33,0,617277.3,1
B00156,267,225,28,Magnetite,60.72,2723,315.15,64,30,0,602191.45,1
B00157,417,268,94,Magnetite,56.27,1466,345.43,45,29,0,397916.38,1
B00158,32,278,90,Hematite,52.65,2387,297.62,38,26,0,557650.9400000001,1
B00159,47,248,61,Magnetite,59.72,2683,251.84,36,28,0,503974.72000000003,1
B00160,406,320,65,Magnetite,53.2,1818,281.91,47,21,0,388888.38000000006,1
B00161,61,195,7,Hematite,60.31,1642,316.65,62,23,0,380369.3,1
B00162,215,29,42,Magnetite,59.08,1274,270.97,34,29,0,264953.78,1
B00163,292,414,46,Waste,0.0,2792,0.0,55,28,1,-231736.0,0
B00164,98,302,11,Magnetite,55.18,2625,348.61,68,31,0,655226.25,1
B00165,171,399,83,Waste,0.0,2989,0.0,35,38,1,-218197.0,0
B00166,359,426,39,Hematite,60.82,2218,277.17,59,23,0,432887.06000000006,1
B00167,213,130,4,Hematite,51.02,1577,318.07,68,31,0,345473.39,1
B00168,474,11,55,Magnetite,64.42,1240,326.09,30,32,0,327471.6,1
B00169,34,459,56,Hematite,64.11,2247,315.6,55,21,0,538381.2000000001,1
B00170,448,394,76,Magnetite,57.5,2422,336.71,44,28,0,641127.62,1
B00171,226,15,0,Magnetite,56.98,2008,276.92,59,34,0,369311.36000000004,1
B00172,100,412,32,Waste,0.0,1967,0.0,41,39,1,-157360.0,0
B00173,430,116,59,Magnetite,56.78,1158,296.56,35,29,0,269304.48,1
B00174,461,148,72,Hematite,50.23,2839,315.55,34,37,0,694277.4500000001,1
B00175,130,108,33,Waste,0.0,2335,0.0,41,31,1,-168120.0,0
B00176,256,235,71,Magnetite,55.66,2674,257.67,67,34,0,418935.58,1
B00177,4,489,32,Hematite,53.67,2960,255.21,42,30,0,542301.6,1
B00178,217,313,99,Hematite,60.09,2079,278.37,35,24,0,456070.23,1
B00179,254,426,55,Magnetite,58.92,1485,341.12,60,26,0,378853.2,1
B00180,397,497,75,Magnetite,51.36,2282,323.32,34,27,0,598614.24,1
B00181,358,4,99,Magnetite,55.69,1492,329.4,48,21,0,388516.8,1
B00182,282,179,82,Hematite,63.84,2885,324.14,56,30,0,687033.8999999999,1
B00183,392,396,20,Waste,0.0,1507,0.0,65,34,1,-149193.0,0
B00184,206,336,96,Magnetite,57.97,2794,281.99,60,37,0,516862.06,1
B00185,14,395,67,Waste,0.0,2657,0.0,45,20,1,-172705.0,0
B00186,345,464,3,Waste,0.0,1544,0.0,55,29,1,-129696.0,0
B00187,41,0,48,Waste,0.0,1720,0.0,40,36,1,-130720.0,0
B00188,379,7,10,Hematite,58.96,1171,284.15,41,32,0,247256.64999999997,1
B00189,460,143,89,Magnetite,54.49,2931,331.76,44,26,0,767218.5599999999,1
B00190,178,142,4,Hematite,59.39,2015,306.66,64,28,0,432539.9,1
B00191,62,274,59,Hematite,51.74,2827,307.08,48,36,0,630647.1599999999,1
B00192,351,152,29,Waste,0.0,1563,0.0,33,37,1,-109410.0,0
B00193,230,286,65,Magnetite,56.14,2027,281.82,61,24,0,398954.14,1
B00194,240,489,87,Hematite,59.75,1900,324.98,32,23,0,512962.00000000006,1
B00195,51,129,15,Magnetite,64.46,1235,295.06,45,35,0,265599.1,1
B00196,95,120,81,Hematite,60.9,2286,344.18,35,23,0,654207.48,1
B00197,387,58,75,Magnetite,56.27,2670,325.13,44,27,0,678527.1,1
B00198,221,216,89,Hematite,52.47,2154,279.23,54,23,0,435603.42000000004,1
B00199,484,30,11,Magnetite,58.99,1320,335.85,60,25,0,331122.00000000006,1
B00200,406,451,25,Hematite,55.56,1537,259.62,61,37,0,248409.94,1
B00201,230,451,67,Hematite,53.63,2351,267.16,48,24,0,458821.16000000003,1
B00202,236,243,26,Hematite,56.2,2569,273.89,55,27,0,492965.41,1
B00203,142,139,52,Magnetite,63.46,1976,317.27,46,20,0,496509.51999999996,1
B00204,170,400,86,Waste,0.0,1870,0.0,35,30,1,-121550.0,0
B00205,28,212,84,Waste,0.0,2934,0.0,33,30,1,-184842.0,0
B00206,35,28,47,Hematite,62.57,2893,327.45,30,30,0,773732.85,1
B00207,12,469,36,Waste,0.0,2933,0.0,47,27,1,-217042.0,0
B00208,159,163,97,Waste,0.0,2808,0.0,33,32,1,-182520.0,0
B00209,326,103,44,Magnetite,63.45,1211,316.87,60,30,0,274739.57,1
B00210,186,463,74,Hematite,50.81,2647,327.66,54,36,0,629086.02,1
B00211,242,62,2,Waste,0.0,1340,0.0,49,39,1,-117920.0,0
B00212,85,14,5,Hematite,59.24,1951,287.84,57,30,0,391838.83999999997,1
B00213,283,285,77,Waste,0.0,2794,0.0,60,24,1,-234696.0,0
B00214,65,493,5,Hematite,55.25,1530,287.68,40,23,0,343760.4,1
B00215,169,178,76,Hematite,56.37,2226,277.0,57,29,0,425166.0,1
B00216,44,10,28,Magnetite,59.77,2931,265.52,34,27,0,599448.12,1
B00217,61,440,32,Magnetite,54.13,1136,260.42,64,24,0,195869.12000000002,1
B00218,440,12,16,Magnetite,55.4,2525,326.89,34,36,0,648647.25,1
B00219,133,214,56,Hematite,59.29,2566,333.19,40,27,0,683043.54,1
B00220,283,487,10,Hematite,60.32,1014,339.99,55,25,0,263629.86,1
B00221,27,310,65,Hematite,62.96,1585,291.2,55,33,0,322072.0,1
B00222,107,488,33,Magnetite,55.35,1669,320.53,35,23,0,438162.56999999995,1
B00223,43,225,94,Hematite,59.15,1250,337.9,36,35,0,333625.0,1
B00224,339,62,15,Hematite,50.49,1837,296.68,55,34,0,381508.16000000003,1
B00225,285,254,40,Hematite,60.06,2950,315.33,69,20,0,667673.5,1
B00226,445,467,36,Hematite,61.98,2308,275.06,69,26,0,415578.48,1
B00227,330,129,21,Magnetite,51.63,2140,270.57,50,34,0,399259.8,1
B00228,127,455,45,Waste,0.0,1815,0.0,33,31,1,-116160.0,0
B00229,347,465,34,Magnetite,64.03,2136,331.86,52,27,0,540108.9600000001,1
B00230,472,439,6,Waste,0.0,2185,0.0,63,31,1,-205390.0,0
B00231,230,262,49,Magnetite,54.75,2057,306.83,45,21,0,495387.30999999994,1
B00232,189,170,14,Hematite,55.52,1764,251.04,56,33,0,285838.56,1
B00233,224,414,3,Hematite,56.0,1977,336.79,41,22,0,541282.8300000001,1
B00234,384,444,87,Hematite,55.88,1790,313.6,53,27,0,418144.00000000006,1
B00235,376,405,12,Waste,0.0,1167,0.0,60,31,1,-106197.0,0
B00236,282,189,28,Waste,0.0,1301,0.0,55,21,1,-98876.0,0
B00237,445,283,49,Hematite,58.97,2835,323.82,30,29,0,750764.7,1
B00238,120,24,15,Hematite,58.47,2182,303.15,49,39,0,469457.29999999993,1
B00239,115,499,0,Magnetite,56.68,1797,331.2,58,32,0,433436.39999999997,1
B00240,460,448,33,Waste,0.0,2800,0.0,39,27,1,-184800.0,0
B00241,232,159,97,Magnetite,60.74,1517,324.67,34,30,0,395436.39,1
B00242,258,216,79,Waste,0.0,2744,0.0,50,37,1,-238728.0,0
B00243,358,175,95,Hematite,63.65,2675,280.36,65,33,0,487813.00000000006,1
B00244,197,335,32,Hematite,61.65,1004,338.18,48,35,0,256200.72,1
B00245,455,220,14,Hematite,51.86,1186,272.26,43,38,0,226834.36,1
B00246,410,489,80,Magnetite,53.89,1399,258.61,50,29,0,251274.39,1
B00247,136,279,57,Magnetite,59.82,1827,263.73,48,32,0,335674.71,1
B00248,317,80,80,Magnetite,52.55,1948,266.22,34,35,0,384184.56000000006,1
B00249,164,124,34,Magnetite,57.74,1813,321.14,45,20,0,464381.81999999995,1
B00250,224,169,52,Hematite,62.24,1768,325.48,33,34,0,456992.64,1
B00251,306,69,28,Hematite,57.33,1202,268.49,36,32,0,240988.98,1
B00252,233,77,75,Magnetite,58.94,2871,323.6,48,32,0,699375.6000000001,1
B00253,171,89,57,Hematite,56.86,1777,299.36,60,24,0,382694.72000000003,1
B00254,151,379,76,Magnetite,64.82,2159,281.37,42,20,0,473619.83,1
B00255,462,347,20,Hematite,61.74,2778,305.01,45,23,0,658413.78,1
B00256,314,110,38,Hematite,53.03,2985,272.98,52,38,0,546195.3,1
B00257,373,163,0,Magnetite,63.21,2501,347.19,43,22,0,705757.19,1
B00258,159,414,48,Waste,0.0,1775,0.0,63,20,1,-147325.0,0
B00259,95,127,76,Waste,0.0,1230,0.0,32,28,1,-73800.0,0
B00260,471,154,42,Magnetite,54.7,1995,330.69,57,36,0,474191.55,1
B00261,232,193,87,Magnetite,59.08,1112,321.6,62,27,0,258651.2,1
B00262,179,466,87,Hematite,58.65,2769,293.64,50,34,0,580493.1599999999,1
B00263,112,475,76,Hematite,62.09,2368,254.54,30,21,0,481982.72,1
B00264,317,172,99,Magnetite,50.33,2199,259.97,33,23,0,448530.0300000001,1
B00265,496,299,4,Waste,0.0,2462,0.0,66,33,1,-243738.0,0
B00266,441,312,54,Magnetite,61.39,1755,309.02,49,20,0,421235.1,1
B00267,51,20,77,Waste,0.0,1485,0.0,38,32,1,-103950.0,0
B00268,267,310,79,Magnetite,58.34,1645,339.1,51,26,0,431154.50000000006,1
B00269,294,108,69,Hematite,60.2,1163,338.26,41,35,0,305008.38,1
B00270,385,398,1,Magnetite,58.28,2246,286.82,39,23,0,504945.72,1
B00271,386,417,67,Magnetite,63.46,2981,312.88,46,20,0,735949.28,1
B00272,112,359,62,Magnetite,59.96,1492,345.53,69,28,0,370806.75999999995,1
B00273,100,386,79,Magnetite,52.14,1179,301.86,55,25,0,261572.94,1
B00274,112,128,99,Hematite,63.01,1086,251.87,66,21,0,179048.82,1
B00275,439,279,84,Hematite,59.11,1429,295.8,61,33,0,288372.2,1
B00276,80,426,80,Hematite,64.44,2575,323.42,49,20,0,655131.5,1
B00277,186,26,66,Magnetite,58.05,1063,303.82,63,25,0,229416.66,1
B00278,112,392,87,Magnetite,57.75,2967,266.32,45,28,0,573580.44,1
B00279,1,343,69,Magnetite,60.53,2614,336.92,39,32,0,695114.88,1
B00280,129,400,82,Waste,0.0,1330,0.0,35,33,1,-90440.0,0
B00281,219,91,97,Hematite,54.96,2641,312.51,63,33,0,571802.91,1
B00282,53,294,85,Waste,0.0,2430,0.0,68,38,1,-257580.0,0
B00283,342,54,2,Waste,0.0,2492,0.0,38,34,1,-179424.0,0
B00284,484,195,38,Hematite,52.4,2757,281.81,40,21,0,608773.17,1
B00285,223,380,86,Waste,0.0,2691,0.0,60,24,1,-226044.0,0
B00286,224,220,10,Magnetite,64.17,2341,344.16,45,38,0,611375.56,1
B00287,384,300,95,Magnetite,53.95,1628,346.75,32,25,0,471713.0,1
B00288,402,155,29,Hematite,62.2,2957,323.55,54,29,0,711306.35,1
B00289,125,439,49,Waste,0.0,1138,0.0,56,31,1,-99006.0,0
B00290,129,100,99,Magnetite,55.98,1549,252.71,58,35,0,247390.79,1
B00291,52,412,66,Hematite,55.69,1120,312.32,57,22,0,261318.4,1
B00292,171,235,47,Waste,0.0,2751,0.0,41,30,1,-195321.0,0
B00293,217,499,39,Hematite,61.15,1131,345.68,63,23,0,293698.08,1
B00294,159,284,99,Hematite,50.62,1423,320.43,52,26,0,344977.89,1
B00295,197,68,15,Waste,0.0,2236,0.0,64,24,1,-196768.0,0
B00296,415,266,31,Magnetite,54.01,2470,328.22,53,28,0,610633.4,1
B00297,246,385,99,Hematite,51.07,1727,264.63,66,33,0,286043.01,1
B00298,323,451,61,Hematite,64.04,1478,265.61,65,39,0,238859.58000000002,1
B00299,438,137,85,Magnetite,58.63,1490,269.95,63,23,0,274085.5,1
B00300,202,247,75,Magnetite,50.09,2648,320.11,30,34,0,678179.28,1
B00301,183,102,39,Magnetite,63.18,1699,283.48,40,21,0,377993.52,1
B00302,122,107,77,Magnetite,61.51,1503,318.77,60,36,0,334823.31,1
B00303,400,199,70,Magnetite,54.67,1472,306.38,37,26,0,358255.36,1
B00304,254,374,65,Hematite,52.83,2051,345.11,41,23,0,576556.61,1
B00305,293,214,10,Waste,0.0,1606,0.0,62,26,1,-141328.0,0
B00306,279,154,73,Hematite,62.45,1577,275.44,38,34,0,320824.88,1
B00307,324,86,5,Magnetite,55.68,2829,308.86,45,28,0,667247.9400000001,1
B00308,371,367,8,Hematite,50.38,1948,311.73,52,24,0,459202.04000000004,1
B00309,97,481,18,Waste,0.0,2119,0.0,36,36,1,-152568.0,0
B00310,197,418,24,Hematite,53.9,1655,271.62,67,32,0,285686.10000000003,1
B00311,469,208,4,Waste,0.0,1909,0.0,63,22,1,-162265.0,0
B00312,394,494,4,Magnetite,56.14,2661,253.3,53,32,0,447846.30000000005,1
B00313,239,177,53,Hematite,60.66,1819,303.61,36,32,0,428574.59,1
B00314,143,73,66,Hematite,62.48,1059,297.28,43,34,0,233276.51999999996,1
B00315,96,257,67,Hematite,51.75,2247,318.11,34,21,0,591208.17,1
B00316,200,272,11,Hematite,55.06,1738,333.14,43,39,0,436481.31999999995,1
B00317,123,350,89,Waste,0.0,1569,0.0,63,31,1,-147486.0,0
B00318,186,335,5,Magnetite,56.01,2124,318.1,39,25,0,539708.4,1
B00319,325,23,73,Hematite,61.94,1840,257.36,52,20,0,341062.4,1
B00320,463,312,90,Hematite,60.59,1667,315.22,64,30,0,368773.74000000005,1
B00321,348,70,86,Magnetite,60.96,1032,276.04,34,34,0,214697.28000000003,1
B00322,258,82,37,Magnetite,51.89,2012,275.9,36,39,0,404210.79999999993,1
B00323,147,399,29,Waste,0.0,2498,0.0,55,27,1,-204836.0,0
B00324,251,352,36,Magnetite,57.71,2253,265.84,30,21,0,484034.51999999996,1
B00325,442,291,24,Waste,0.0,1935,0.0,63,25,1,-170280.0,0
B00326,419,300,43,Magnetite,57.58,1734,342.2,60,37,0,425176.8,1
B00327,402,9,59,Hematite,53.91,1504,305.3,49,32,0,337347.2,1
B00328,345,318,13,Hematite,63.18,1073,309.48,33,35,0,259108.04,1
B00329,450,42,66,Magnetite,64.58,1760,342.72,54,36,0,444787.20000000007,1
B00330,146,50,67,Magnetite,52.54,2196,305.61,60,21,0,493243.56000000006,1
B00331,147,206,35,Hematite,62.09,1272,312.0,45,22,0,311640.0,1
B00332,351,106,24,Waste,0.0,1273,0.0,62,21,1,-105659.0,0
B00333,198,258,7,Hematite,62.11,1250,333.65,63,27,0,304562.5,1
B00334,307,193,24,Hematite,63.37,1839,289.35,37,29,0,410740.65,1
B00335,488,234,35,Magnetite,57.1,1845,265.15,39,25,0,371121.74999999994,1
B00336,416,489,29,Magnetite,63.38,2170,326.79,64,23,0,520344.30000000005,1
B00337,423,162,78,Magnetite,62.98,1576,319.35,36,25,0,407159.60000000003,1
B00338,127,474,59,Magnetite,60.7,1580,315.66,47,23,0,388142.80000000005,1
B00339,38,68,44,Waste,0.0,1200,0.0,60,37,1,-116400.0,0
B00340,337,334,46,Magnetite,55.23,2468,290.34,51,38,0,496907.11999999994,1
B00341,359,291,49,Hematite,50.29,2106,324.05,39,38,0,520287.30000000005,1
B00342,128,304,68,Waste,0.0,1474,0.0,31,27,1,-85492.0,0
